Feature,RandomForest_Importance,F_Score,Mutual_Info,Variance,Target_Correlation
T1_feature_20,0.010437143989149562,0.03674704930750562,0.0,1.0050251256281406,0.013621920585294659
T2_feature_1,0.007739082023224351,0.19677323087165463,0.003481206415265392,1.0050251256281406,0.03150900712643766
T2_feature_2,0.0054694345069433515,0.11306619445065229,0.0,1.005025125628141,0.023889652235923656
T2_feature_3,0.008269414570448856,0.9030746432066228,0.013109990850046493,1.0050251256281406,0.06738156223714407
T2_feature_4,0.0076892345154267495,0.5233179258446763,0.0,1.0050251256281406,0.05134250371746303
T2_feature_5,0.010677060819870741,0.1078607978276717,0.0366750507901068,1.0050251256281406,0.023333557627334446
T2_feature_6,0.009737412192995754,0.20867316434363137,0.02157215164676618,1.0050251256281406,0.032446807613423834
T2_feature_7,0.010270245137200736,0.610147948812379,0.0,1.0050251256281406,0.05542642408169355
T2_feature_8,0.005928336904421818,0.1307239587836966,0.0,1.0050251256281406,0.025686307802943828
T2_feature_9,0.009680678808538186,0.0038064565236863883,0.07625746633208097,1.0050251256281404,0.00438453627217726
T2_feature_10,0.008743079347582708,0.04434805995449804,0.0,1.0050251256281406,0.014964288988410412
T2_feature_11,0.005266817351381055,0.008500916341651406,0.0,1.0050251256281406,0.00655225744877317
T2_feature_12,0.009528441715923437,1.096734715776792,0.02485205230166687,1.0050251256281406,0.07421962003280377
T2_feature_13,0.010037257079463988,1.1417425496829723,0.029471960687055265,1.0050251256281406,0.07571866384524284
T2_feature_14,0.006885082941524084,0.9621856180051737,0.0,1.0050251256281408,0.06954151679998036
T2_feature_15,0.008041144332279338,1.3712240540065266,0.006761922251977914,1.0050251256281406,0.0829321594259371
T2_feature_16,0.011698010447507979,0.9224472550303088,0.0,1.0050251256281406,0.06809714034871886
T2_feature_17,0.011284021799410888,1.0706501964508688,0.0,1.005025125628141,0.07333650062890155
T2_feature_18,0.01151083734482116,1.4987537819444539,0.025792877923413338,1.0050251256281406,0.08667523991561724
T2_feature_19,0.007378731132830152,0.048040043248773576,0.008583454886010422,1.0050251256281406,0.015574582746400613
T2_feature_20,0.010032283289188294,0.3049237377051385,0.0,1.0050251256281406,0.039212891578388365
FLAIR_feature_1,0.004706458455183748,0.04416206867134864,0.0,1.0050251256281408,0.014932883672687748
FLAIR_feature_2,0.00991410837440327,0.014554802385757843,0.028152739767795643,1.0050251256281406,0.008573429871838855
FLAIR_feature_3,0.004869667406583182,0.10488005492300208,0.00783809607815189,1.0050251256281408,0.023009059443089612
FLAIR_feature_4,0.007312346769240207,0.165077962230617,0.009114826292381917,1.0050251256281408,0.028862303445276797
FLAIR_feature_5,0.006553989518925231,2.6877063915342183,0.0,1.0050251256281406,0.11572588942022595
FLAIR_feature_6,0.01292467521194379,1.914377605258147,0.0,1.0050251256281404,0.09785697533263268
FLAIR_feature_7,0.01747405944123511,3.0594166358288373,0.0,1.0050251256281406,0.12335509806139762
FLAIR_feature_8,0.009022201468787306,2.9193756714986745,0.0,1.0050251256281408,0.12054080355937875
FLAIR_feature_9,0.011843032348732461,4.867172013450475,0.0,1.0050251256281406,0.15489323847859818
FLAIR_feature_10,0.00889340294964061,3.4387100385757803,0.0,1.0050251256281406,0.1306550836727181
FLAIR_feature_11,0.007345605584331648,2.075691052932472,0.02572740867044443,1.0050251256281406,0.10185543171355876
FLAIR_feature_12,0.01057008237954698,0.15429082922104917,0.02938391678651131,1.0050251256281404,0.027904119046382046
FLAIR_feature_13,0.0114694817317441,0.6756664019032569,0.0,1.0050251256281406,0.05831681848170333
FLAIR_feature_14,0.011342111977255676,0.024482864736701637,0.0,1.0050251256281408,0.011119152142390063
FLAIR_feature_15,0.007435765572717626,0.00963571099048851,0.023024726849341315,1.0050251256281408,0.0069758754888216735
FLAIR_feature_16,0.007271986135865788,0.00496741222991107,0.0014552844453401548,1.0050251256281408,0.005008723506656679
FLAIR_feature_17,0.007305710903499927,0.3044222228431263,0.023723321963377675,1.0050251256281406,0.03918068069421707
FLAIR_feature_18,0.007120164881802666,0.8215334425598704,0.0,1.0050251256281406,0.06428074685957523
FLAIR_feature_19,0.008562336414036727,0.9935199477517087,0.0,1.0050251256281406,0.07065921829462239
